state,disaster_count
TX,207
CA,184
OK,130
FL,117
NY,92
WA,90
NM,77
LA,76
AL,74
KY,69
AR,69
MS,69
MO,68
WV,66
CO,65
IA,62
VA,62
TN,62
SD,62
NV,60
GA,60
IL,60
MN,60
PA,59
NE,59
KS,58
AZ,57
NC,57
ND,56
OR,55
OH,54
ME,54
MT,52
AK,51
NJ,50
IN,48
MA,47
WI,46
HI,45
NH,44
VT,43
MI,36
MD,32
PR,32
CT,31
ID,30
UT,28
SC,27
WY,26
RI,22
DE,21
FM,21
VI,21
DC,20
MP,15
GU,14
AS,12
MH,8
PW,6
